latitude,longitude,altura,speed
-3.092395,-60.018638,18.1,2.44
-3.092401,-60.018631,16.8,1.07
-3.092406,-60.018627,15.1,1.09
-3.09241,-60.018622,14.4,0.26
-3.092413,-60.018614,13.7,0.22
-3.092412,-60.01861,13.5,0.5
-3.092414,-60.018598,12.8,0.74
-3.092412,-60.018577,14.0,1.13
-3.092452,-60.018538,18.5,1.43
-3.092434,-60.018557,19.2,1.37
-3.092457,-60.018512,27.4,0.13
-3.092388,-60.018541,6.8,0.44
-3.092353,-60.018473,11.0,2.98
-3.092353,-60.018465,11.7,2.85
-3.092351,-60.018469,11.8,1.94
-3.092351,-60.018475,11.8,0.91
-3.092347,-60.018473,12.4,0.41
-3.092348,-60.018465,12.9,0.87
-3.092347,-60.01847,13.3,0.35
-3.092342,-60.018478,13.4,0.74
-3.092339,-60.018478,14.0,1.02
-3.092338,-60.018479,14.6,1.17
-3.092341,-60.018472,15.1,0.89
-3.092337,-60.018469,15.1,0.28
-3.092337,-60.018463,14.9,0.76
-3.092332,-60.018459,15.2,0.35
-3.092331,-60.018436,15.3,2.28
-3.09233,-60.018445,15.0,0.93
-3.092328,-60.018442,15.0,0.94
-3.09233,-60.018433,14.8,1.48
-3.092329,-60.01843,14.7,1.13
-3.092327,-60.018425,14.6,1.26
-3.092328,-60.018429,14.6,0.56
-3.092328,-60.018438,14.5,0.52
-3.092327,-60.018441,14.6,0.96
-3.092328,-60.018439,14.4,0.48
-3.092329,-60.018443,14.1,0.69
-3.092331,-60.018436,13.8,0.39
-3.092331,-60.01843,14.2,0.3
-3.092332,-60.01842,14.5,0.69
-3.092335,-60.018419,14.3,0.81
-3.092339,-60.018423,14.1,0.85
-3.09234,-60.018421,14.1,0.35
-3.09234,-60.018425,14.0,0.7
-3.092344,-60.018428,14.1,0.96
-3.092347,-60.018433,14.2,1.22
-3.09235,-60.018431,14.0,0.39
-3.09235,-60.018437,13.5,0.67
-3.092351,-60.018439,13.3,0.57
-3.09235,-60.018448,12.7,1.15
-3.092352,-60.018449,12.6,0.57
-3.092354,-60.018456,11.9,0.3
-3.092358,-60.018467,10.8,0.33
-3.09236,-60.018482,9.8,0.67
-3.092364,-60.018492,8.9,0.44
-3.092366,-60.018505,7.9,0.5
-3.092385,-60.018542,4.5,1.22
-3.092386,-60.018557,3.4,0.33
-3.092388,-60.018561,2.8,0.3
-3.092388,-60.018566,2.9,0.69
-3.092388,-60.018562,3.4,0.59
-3.092388,-60.018555,3.7,0.33
-3.092388,-60.018551,4.4,0.43
-3.092386,-60.018548,4.9,0.3
-3.092386,-60.018544,5.2,0.04
-3.092385,-60.018544,5.6,0.26
-3.092385,-60.018541,5.8,0.24
-3.092383,-60.018543,6.1,0.87
-3.092384,-60.018541,6.7,0.39
-3.092384,-60.018539,7.1,0.3
-3.092383,-60.018547,8.0,1.28
-3.092379,-60.018552,8.5,2.17
-3.092378,-60.018555,9.1,2.26
-3.092378,-60.018558,9.9,2.22
-3.092378,-60.018556,10.6,1.72
-3.09238,-60.01855,11.1,0.76
-3.092378,-60.018553,12.0,1.52
-3.092382,-60.018546,12.8,0.57
-3.092381,-60.018545,13.5,0.65
-3.092379,-60.018546,14.1,1.0
-3.092381,-60.01854,14.8,0.54
-3.092374,-60.018557,15.8,2.33
-3.092376,-60.018557,16.7,1.39
-3.092375,-60.018565,17.9,1.89
-3.092384,-60.018563,19.5,1.44
-3.092395,-60.018556,20.6,0.54
-3.092396,-60.018555,21.5,0.2
-3.092397,-60.018555,22.4,0.43
-3.092397,-60.018554,23.1,0.24
-3.092392,-60.01856,23.9,1.24
-3.092392,-60.018562,24.7,1.04
-3.092395,-60.018562,25.4,0.56
-3.092395,-60.018561,26.1,0.24
-3.092393,-60.018559,26.7,0.2
-3.092391,-60.018558,27.5,0.44
-3.092391,-60.018556,28.1,0.26
-3.092392,-60.018555,29.0,0.69
-3.092392,-60.018561,29.8,1.37
-3.092391,-60.01856,30.5,1.61
-3.092391,-60.018561,31.2,1.46
-3.092386,-60.018562,31.9,1.76
-3.092392,-60.018559,32.8,0.94
3.092399,-60.018568,33.9,2.11
-3.092408,-60.018563,34.7,1.33
-3.092415,-60.018563,35.7,0.81
-3.092421,-60.018564,36.6,0.56
-3.092427,-60.01856,37.3,0.5
-3.09243,-60.018559,38.0,0.33
-3.092433,-60.018556,38.5,0.43
-3.092436,-60.018546,39.0,1.28
-3.092437,-60.018542,39.3,1.31
-3.092439,-60.01854,39.5,1.06
-3.09244,-60.018539,39.5,0.96
-3.092441,-60.018536,39.8,1.22
-3.092441,-60.018537,39.9,0.98
-3.092443,-60.018537,40.0,0.89
-3.092443,-60.01854,40.0,0.61
-3.092443,-60.018543,40.0,0.7
3.092444,-60.018547,40.4,0.69
-3.092447,-60.018546,40.8,0.15
-3.092451,-60.018545,41.3,0.41
-3.092454,-60.018543,41.6,0.63
-3.092456,-60.018542,41.5,0.54
-3.092457,-60.01854,41.6,0.65
-3.092457,-60.018536,41.3,0.85
-3.092455,-60.018534,41.2,0.76
-3.092453,-60.018534,40.9,0.59
-3.092452,-60.018533,40.7,0.54
-3.092447,-60.018532,40.4,1.11
-3.092445,-60.018529,40.2,1.3
-3.09244,-60.018528,39.9,1.28
-3.092436,-60.018524,39.7,1.57
-3.092432,-60.018517,39.9,2.06
-3.092428,-60.018513,39.8,2.26
-3.092429,-60.018513,39.9,1.41
-3.092422,-60.018505,39.8,2.2
-3.092423,-60.018502,40.1,1.96
-3.092423,-60.018508,40.3,1.04
-3.092417,-60.018501,40.2,1.43
-3.092419,-60.018505,40.3,1.22
-3.092416,-60.018512,40.4,0.52
-3.092411,-60.018508,40.4,0.7
-3.092412,-60.018506,40.5,1.22
-3.092407,-60.018507,40.3,0.93
-3.092398,-60.018509,40.2,0.52
-3.092391,-60.01851,38.9,0.67
-3.092385,-60.018512,37.6,0.54
-3.09238,-60.018511,36.7,0.76
-3.092373,-60.01851,34.2,1.22
-3.092366,-60.018512,33.5,1.37
-3.092363,-60.018509,32.2,1.43
-3.092363,-60.018507,30.6,1.11
-3.092365,-60.018505,29.7,1.26
-3.092361,-60.018501,29.2,1.02
-3.09236,-60.018492,28.8,1.48
-3.09236,-60.018486,28.6,1.3
-3.092359,-60.018481,28.5,0.98
3.092366,-60.018462,27.6,0.85
-3.09237,-60.018463,26.8,0.69
-3.092375,-60.01846,25.9,0.96
-3.092379,-60.01846,24.8,0.96
-3.092382,-60.018457,23.7,1.15
-3.092385,-60.018451,23.0,1.41
-3.092388,-60.01845,22.3,1.09
-3.092389,-60.018452,21.7,0.43
-3.092392,-60.018446,20.7,1.11
-3.092394,-60.018444,19.8,0.93
3.092395,-60.018449,19.2,0.41
-3.092398,-60.018442,18.8,0.35
-3.092401,-60.01843,18.4,1.56
-3.092403,-60.01842,18.1,2.0
-3.092405,-60.018423,17.9,0.93
-3.092408,-60.018415,17.6,1.5
-3.092409,-60.01842,17.5,0.41
-3.09241,-60.018422,17.4,0.07
-3.09241,-60.01843,17.4,1.07
-3.092411,-60.018428,17.0,0.93
-3.092412,-60.018433,16.9,1.31
-3.092413,-60.01843,16.6,0.61
-3.092414,-60.018427,16.3,0.28
-3.092414,-60.01843,16.3,0.46
-3.092414,-60.018431,16.3,0.61
-3.092414,-60.018435,16.6,0.15
-3.092413,-60.018435,16.7,0.37
-3.092413,-60.018436,16.7,0.5
-3.092414,-60.018435,16.9,0.83
-3.092415,-60.018432,16.8,1.46
-3.092414,-60.018433,16.7,1.43
-3.092414,-60.018432,16.0,1.13
-3.092414,-60.018435,15.7,0.8
-3.092412,-60.01844,15.7,0.39
-3.092411,-60.01844,15.2,0.65
-3.092408,-60.018448,15.1,0.52
-3.092407,-60.018451,15.1,0.48
-3.092408,-60.018451,15.3,0.31
-3.092409,-60.018447,15.3,0.65
-3.09241,-60.01845,15.5,0.37
-3.092411,-60.01845,15.3,0.67
-3.092412,-60.01845,15.2,0.31
-3.092412,-60.018444,15.3,0.43
-3.092409,-60.018441,15.5,1.06
-3.092407,-60.018441,15.3,0.78
-3.092406,-60.01844,15.3,0.33
-3.092405,-60.01844,14.8,0.89
-3.092407,-60.018428,14.5,0.28
-3.092407,-60.018421,14.1,0.24
-3.092408,-60.018415,13.8,0.26
-3.09241,-60.018411,13.8,0.48
-3.092411,-60.018391,9.0,0.2
-3.092411,-60.018384,8.5,0.61
-3.092409,-60.018385,8.5,0.28
-3.092409,-60.018383,8.4,0.54
-3.092411,-60.018378,8.6,1.09
-3.092409,-60.01838,8.9,0.69
-3.092406,-60.018382,9.0,0.31
-3.092406,-60.018377,8.8,1.02
-3.092402,-60.018378,9.1,0.39
-3.092405,-60.018375,9.7,0.48
-3.09241,-60.01837,10.5,1.0
-3.092412,-60.018368,10.8,1.15
-3.092434,-60.018375,16.0,0.76
-3.092435,-60.018378,16.9,0.24
-3.092458,-60.018382,22.8,1.15
-3.092465,-60.018385,23.8,0.78
-3.092471,-60.018385,25.2,0.56
-3.092476,-60.018375,25.6,1.85
-3.092479,-60.018377,26.2,1.15
-3.092483,-60.018376,26.7,1.3
-3.092491,-60.01838,28.2,0.67
-3.092494,-60.018384,29.2,0.26
-3.092496,-60.018388,30.1,0.09
-3.092499,-60.018391,31.1,0.11
-3.092503,-60.018395,32.6,0.28
-3.092506,-60.018397,33.4,0.54
-3.092509,-60.018395,34.0,0.09
-3.092512,-60.018395,34.6,0.15
-3.092516,-60.018397,36.0,0.13
-3.092519,-60.018393,36.2,0.46
-3.092521,-60.018394,36.6,0.39
-3.092522,-60.018397,37.2,0.11
-3.092526,-60.018401,38.2,0.31
-3.092525,-60.018403,37.9,0.61
-3.092521,-60.018419,35.4,2.28
-3.09252,-60.018424,34.8,2.2
-3.092519,-60.018421,34.2,1.13
-3.09252,-60.01842,33.3,0.85
-3.092509,-60.0184,26.9,0.93
-3.092507,-60.018393,25.3,1.04
-3.092492,-60.018382,18.3,0.74
-3.092487,-60.018386,17.4,0.41
-3.092414,-60.018326,-21.8,0.93
-3.092413,-60.018338,-24.6,0.7
-3.092408,-60.018433,-21.5,1.72
-3.09241,-60.018441,-21.1,0.11
-3.092412,-60.018441,-21.4,0.87
-3.092411,-60.018442,-19.9,1.02
